gp,latitude,longitude
"Agricu_M_C",36.48312,-121.4728
"Agricu_M_I",37.67076,-122.024
"Agricu_M_N",38.48865,-121.4092
"Agricu_M_S",36.45016,-119.6709
"Agricu_S_C",36.48312,-121.4728
"Agricu_S_I",37.67076,-122.024
"Agricu_S_N",38.48865,-121.4092
"Agricu_S_S",36.45016,-119.6709
"Automo_M_C",37.48299,-122.1193
"Automo_M_I",37.6753,-122.1697
"Automo_M_N",38.26169,-121.6007
"Automo_M_S",36.16991,-119.4664
"Automo_S_C",37.36834,-122.0472
"Automo_S_I",37.65559,-122.1257
"Automo_S_N",38.36767,-121.5003
"Automo_S_S",36.22221,-119.4986
"Constr_M_C",37.26846,-122.0147
"Constr_M_I",37.73306,-122.1792
"Constr_M_N",38.42796,-121.5479
"Constr_M_S",36.2424,-119.4991
"Constr_S_C",37.26846,-122.0147
"Constr_S_I",37.73306,-122.1792
"Constr_S_N",38.42796,-121.5479
"Constr_S_S",36.2424,-119.4991
"Educat_M_C",37.41481,-122.0907
"Educat_M_I",37.55927,-122.0315
"Educat_M_N",38.4441,-121.546
"Educat_M_S",36.33868,-119.5729
"Educat_S_C",37.41772,-122.1048
"Educat_S_I",37.65727,-122.1316
"Educat_S_N",38.42283,-121.5171
"Educat_S_S",36.29333,-119.5542
"FullSe_M_C",37.45221,-122.1633
"FullSe_M_I",37.57778,-122.0802
"FullSe_M_N",38.28982,-121.6015
"FullSe_M_S",36.19534,-119.4773
"FullSe_S_C",37.43963,-122.1469
"FullSe_S_I",37.65417,-122.1281
"FullSe_S_N",38.28805,-121.5385
"FullSe_S_S",36.28835,-119.5407
"GasSta_M_C",37.45455,-122.1131
"GasSta_M_I",37.68031,-122.1317
"GasSta_M_N",38.40562,-121.5834
"GasSta_M_S",36.28173,-119.591
"GasSta_S_C",37.45455,-122.1131
"GasSta_S_I",37.68031,-122.1317
"GasSta_S_N",38.40562,-121.5834
"GasSta_S_S",36.28173,-119.591
"Govern_M_C",37.46646,-122.1501
"Govern_M_I",37.62941,-122.0928
"Govern_M_N",38.38873,-121.5997
"Govern_M_S",36.16734,-119.4848
"Govern_S_C",37.40512,-122.0929
"Govern_S_I",37.7524,-122.1612
"Govern_S_N",38.43242,-121.4953
"Govern_S_S",36.27754,-119.5592
"Grocer_M_C",37.425,-122.1148
"Grocer_M_I",37.65831,-122.1175
"Grocer_M_N",38.30656,-121.5047
"Grocer_M_S",36.2666,-119.5499
"Grocer_S_C",37.32646,-122.0481
"Grocer_S_I",37.71635,-122.1525
"Grocer_S_N",38.36515,-121.4138
"Grocer_S_S",36.25475,-119.547
"Health_M_C",37.42865,-122.0913
"Health_M_I",37.67095,-122.1596
"Health_M_N",38.31435,-121.6026
"Health_M_S",36.19482,-119.4812
"Health_S_C",37.18892,-121.9432
"Health_S_I",37.53143,-122.05
"Health_S_N",38.33689,-121.4874
"Health_S_S",36.28682,-119.5203
"Limite_M_C",37.38377,-122.0702
"Limite_M_I",37.51055,-122.0217
"Limite_M_N",38.28416,-121.5763
"Limite_M_S",36.2005,-119.4935
"Limite_S_C",37.35928,-122.0743
"Limite_S_I",37.63938,-122.1169
"Limite_S_N",38.28546,-121.5101
"Limite_S_S",36.24566,-119.5095
"Lodgin_M_C",37.36314,-122.1064
"Lodgin_M_I",37.71164,-122.1242
"Lodgin_M_N",38.35405,-121.5507
"Lodgin_M_S",36.27621,-119.5396
"Lodgin_S_C",37.34108,-122.1027
"Lodgin_S_I",37.81958,-122.2098
"Lodgin_S_N",38.42611,-121.4716
"Lodgin_S_S",36.2639,-119.543
"Manufa_M_C",37.2977,-121.9604
"Manufa_M_I",37.65759,-122.0778
"Manufa_M_N",38.29858,-121.5281
"Manufa_M_S",35.97009,-119.4725
"Manufa_S_C",37.28394,-121.9968
"Manufa_S_I",37.76891,-122.1721
"Manufa_S_N",38.48674,-121.4732
"Manufa_S_S",36.06815,-119.4588
"Missin_M_C",37.40681,-122.0974
"Missin_M_I",37.6634,-122.1022
"Missin_M_N",38.37648,-121.4622
"Missin_M_S",36.17673,-119.7311
"Missin_S_C",37.30604,-122.0394
"Missin_S_I",37.70201,-122.148
"Missin_S_N",38.49637,-121.4893
"Missin_S_S",36.32174,-119.538
"Office_M_C",37.48533,-122.1472
"Office_M_I",37.52729,-122.05
"Office_M_N",38.27811,-121.61
"Office_M_S",36.2788,-119.5458
"Office_S_C",37.24382,-121.9981
"Office_S_I",37.66507,-122.1281
"Office_S_N",38.44137,-121.5142
"Office_S_S",36.30902,-119.5577
"Person_M_C",37.4412,-122.124
"Person_M_I",37.62528,-122.1031
"Person_M_N",38.35869,-121.5222
"Person_M_S",36.31425,-119.539
"Person_S_C",37.4412,-122.124
"Person_S_I",37.62528,-122.1031
"Person_S_N",38.35869,-121.5222
"Person_S_S",36.31425,-119.539
"Proper_M_C",37.59094,-122.2425
"Proper_M_I",37.56292,-122.0894
"Proper_M_N",38.10746,-121.7388
"Proper_M_S",36.32362,-119.5399
"Proper_S_C",37.36544,-122.0811
"Proper_S_I",37.66143,-122.1355
"Proper_S_N",38.40776,-121.539
"Proper_S_S",36.33986,-119.5476
"Religi_M_C",37.48106,-122.1233
"Religi_M_I",37.64772,-122.0912
"Religi_M_N",38.44194,-121.4364
"Religi_M_S",36.22255,-119.5118
"Religi_S_C",37.48106,-122.1233
"Religi_S_I",37.64772,-122.0912
"Religi_S_N",38.44194,-121.4364
"Religi_S_S",36.22255,-119.5118
"Retail_M_C",37.39228,-122.0864
"Retail_M_I",37.59601,-122.0799
"Retail_M_N",38.27549,-121.6148
"Retail_M_S",36.18767,-119.481
"Retail_S_C",37.32753,-122.0678
"Retail_S_I",37.68547,-122.1538
"Retail_S_N",38.39935,-121.4889
"Retail_S_S",36.22563,-119.4843
"Transp_M_C",37.35341,-122.057
"Transp_M_I",37.60874,-122.0786
"Transp_M_N",38.32047,-121.4657
"Transp_M_S",36.18277,-119.5688
"Transp_S_C",37.34084,-122.0659
"Transp_S_I",37.65964,-122.1061
"Transp_S_N",38.37405,-121.4665
"Transp_S_S",36.20289,-119.5108
"Wareho_M_C",37.46692,-122.0804
"Wareho_M_I",37.75743,-122.1204
"Wareho_M_N",38.29789,-121.557
"Wareho_M_S",36.17915,-119.5084
"Wareho_S_C",37.36913,-122.0554
"Wareho_S_I",37.80348,-122.1989
"Wareho_S_N",38.44907,-121.4956
"Wareho_S_S",36.23854,-119.532
