gp,latitude,longitude
"1_1_NS_C",37.7627,-122.3078
"1_1_NS_I",37.70159,-122.1757
"1_1_NS_N",38.28312,-121.5077
"1_1_NS_S",36.22387,-119.4908
"1_1_S_C",37.08625,-121.8717
"1_1_S_I",37.59554,-122.0666
"1_1_S_N",38.31173,-121.5703
"1_1_S_S",36.23831,-119.5367
"1_2_NS_C",37.75266,-122.3075
"1_2_NS_I",37.71437,-122.1644
"1_2_NS_N",38.24377,-121.4707
"1_2_NS_S",36.28919,-119.5439
"1_2_S_C",37.05682,-121.8436
"1_2_S_I",37.50282,-121.9864
"1_2_S_N",38.27391,-121.5223
"1_2_S_S",36.25644,-119.5099
"1_3_NS_C",37.7397,-122.2743
"1_3_NS_I",37.64475,-122.1194
"1_3_NS_N",38.28625,-121.4637
"1_3_NS_S",36.28141,-119.5261
"1_3_S_C",37.14859,-121.9385
"1_3_S_I",37.47723,-121.9749
"1_3_S_N",38.38468,-121.4873
"1_3_S_S",36.20055,-119.4837
"1_4_NS_C",37.76698,-122.308
"1_4_NS_I",37.61594,-122.0878
"1_4_NS_N",38.3225,-121.3839
"1_4_NS_S",36.35977,-119.572
"1_4_S_C",37.21087,-121.9474
"1_4_S_I",37.52375,-122.023
"1_4_S_N",38.32399,-121.4327
"1_4_S_S",36.24401,-119.5001
"1_5_NS_C",37.80154,-122.3994
"1_5_NS_I",37.99419,-122.361
"1_5_NS_N",38.64735,-121.1509
"1_5_NS_S",36.37499,-119.4911
"1_5_S_C",36.92867,-121.8131
"1_5_S_I",37.78508,-122.1917
"1_5_S_N",38.82117,-121.3195
"1_5_S_S",36.26813,-119.5279
"2_1_NS_C",37.7049,-122.2924
"2_1_NS_I",37.7057,-122.1809
"2_1_NS_N",38.23725,-121.4376
"2_1_NS_S",36.25335,-119.5257
"2_1_S_C",37.19539,-121.9651
"2_1_S_I",37.61568,-122.0739
"2_1_S_N",38.30281,-121.5376
"2_1_S_S",36.26344,-119.5629
"2_2_NS_C",37.58941,-122.1928
"2_2_NS_I",37.67027,-122.1309
"2_2_NS_N",38.2892,-121.4835
"2_2_NS_S",36.19751,-119.5109
"2_2_S_C",37.2122,-121.9242
"2_2_S_I",37.61172,-122.0623
"2_2_S_N",38.31905,-121.5114
"2_2_S_S",36.13371,-119.4547
"2_3_NS_C",37.66875,-122.2329
"2_3_NS_I",37.59618,-122.0674
"2_3_NS_N",38.27216,-121.434
"2_3_NS_S",36.21054,-119.4913
"2_3_S_C",37.15685,-121.953
"2_3_S_I",37.54156,-122.0328
"2_3_S_N",38.36221,-121.5034
"2_3_S_S",36.19667,-119.4774
"2_4_NS_C",37.57114,-122.1769
"2_4_NS_I",37.59703,-122.0715
"2_4_NS_N",38.25912,-121.3615
"2_4_NS_S",36.26081,-119.5064
"2_4_S_C",37.20018,-121.9465
"2_4_S_I",37.61434,-122.0755
"2_4_S_N",38.38444,-121.441
"2_4_S_S",36.08545,-119.4407
"2_5_NS_C",37.80596,-122.3855
"2_5_NS_I",37.9519,-122.3258
"2_5_NS_N",38.70201,-121.1114
"2_5_NS_S",36.32005,-119.5653
"2_5_S_C",37.21103,-122.0023
"2_5_S_I",37.99961,-122.3214
"2_5_S_N",38.71717,-121.228
