gp,seg_ind,seg_cz,seg_size,prem_count
"Agricu_A_C","Agricu","Coastal","All",175
"Agricu_A_I","Agricu","Coastal","All",10
"Missin_M_C","Agricu","Coastal","All",2
"Agricu_A_C","Agricu","Inland","All",20
"Agricu_A_I","Agricu","Inland","All",185
"Missin_S_I","Agricu","Inland","All",1
"Agricu_A_N","Agricu","North Central Valley","All",190
"Agricu_A_S","Agricu","North Central Valley","All",8
"Manufa_M_N","Agricu","North Central Valley","All",3
"Missin_S_N","Agricu","North Central Valley","All",3
"Office_M_S","Agricu","North Central Valley","All",1
"Agricu_A_N","Agricu","South Central Valley","All",1
"Agricu_A_S","Agricu","South Central Valley","All",185
"Office_M_S","Agricu","South Central Valley","All",1
"Office_S_S","Agricu","South Central Valley","All",1
"Retail_M_S","Agricu","South Central Valley","All",1
"Automo_M_C","Automo","Coastal","Medium/Large",188
"Automo_M_I","Automo","Coastal","Medium/Large",55
"Manufa_M_C","Automo","Coastal","Medium/Large",1
"Automo_M_C","Automo","Coastal","Small",5
"Automo_M_I","Automo","Coastal","Small",3
"Automo_S_C","Automo","Coastal","Small",196
"Automo_S_I","Automo","Coastal","Small",48
"Manufa_M_C","Automo","Coastal","Small",1
"Manufa_M_I","Automo","Coastal","Small",1
"Missin_S_C","Automo","Coastal","Small",1
"Retail_S_C","Automo","Coastal","Small",1
"Wareho_S_I","Automo","Coastal","Small",1
"Automo_M_I","Automo","Inland","Medium/Large",128
"Automo_M_I","Automo","Inland","Small",5
"Automo_S_C","Automo","Inland","Small",2
"Automo_S_I","Automo","Inland","Small",148
"Automo_M_I","Automo","North Central Valley","Medium/Large",3
"Automo_M_N","Automo","North Central Valley","Medium/Large",193
"Automo_M_S","Automo","North Central Valley","Medium/Large",5
"Missin_M_N","Automo","North Central Valley","Medium/Large",1
"Automo_M_N","Automo","North Central Valley","Small",3
"Automo_S_I","Automo","North Central Valley","Small",3
"Automo_S_N","Automo","North Central Valley","Small",196
"Automo_S_S","Automo","North Central Valley","Small",8
"Missin_S_N","Automo","North Central Valley","Small",1
"Automo_M_S","Automo","South Central Valley","Medium/Large",189
"FullSe_S_S","Automo","South Central Valley","Medium/Large",1
"Missin_M_S","Automo","South Central Valley","Medium/Large",1
"Proper_M_S","Automo","South Central Valley","Medium/Large",1
"Automo_M_S","Automo","South Central Valley","Small",2
"Automo_S_S","Automo","South Central Valley","Small",190
"Missin_S_S","Automo","South Central Valley","Small",2
"Proper_S_S","Automo","South Central Valley","Small",1
"Constr_A_C","Constr","Coastal","All",181
"Constr_A_I","Constr","Coastal","All",35
"Missin_M_I","Constr","Coastal","All",1
"Missin_S_C","Constr","Coastal","All",1
"Missin_S_I","Constr","Coastal","All",3
"Constr_A_C","Constr","Inland","All",2
"Constr_A_I","Constr","Inland","All",139
"Constr_A_S","Constr","Inland","All",1
"Missin_M_I","Constr","Inland","All",1
"Missin_S_I","Constr","Inland","All",1
"Proper_S_I","Constr","Inland","All",1
"Agricu_A_N","Constr","North Central Valley","All",1
"Constr_A_I","Constr","North Central Valley","All",6
"Constr_A_N","Constr","North Central Valley","All",177
"Constr_A_S","Constr","North Central Valley","All",2
"Lodgin_S_N","Constr","North Central Valley","All",1
"Manufa_S_N","Constr","North Central Valley","All",1
"Missin_S_N","Constr","North Central Valley","All",1
"Automo_S_S","Constr","South Central Valley","All",1
"Constr_A_S","Constr","South Central Valley","All",178
"Missin_M_S","Constr","South Central Valley","All",3
"Missin_S_S","Constr","South Central Valley","All",2
"Educat_M_C","Educat","Coastal","Medium/Large",192
"Educat_M_I","Educat","Coastal","Medium/Large",37
"Educat_S_C","Educat","Coastal","Medium/Large",2
"Educat_M_C","Educat","Coastal","Small",1
"Educat_S_C","Educat","Coastal","Small",191
"Educat_S_I","Educat","Coastal","Small",42
"Missin_S_C","Educat","Coastal","Small",2
"Educat_M_C","Educat","Inland","Medium/Large",4
"Educat_M_I","Educat","Inland","Medium/Large",160
"Educat_S_I","Educat","Inland","Medium/Large",1
"Educat_S_C","Educat","Inland","Small",5
"Educat_S_I","Educat","Inland","Small",154
"Educat_S_S","Educat","Inland","Small",1
"Educat_M_C","Educat","North Central Valley","Medium/Large",1
"Educat_M_I","Educat","North Central Valley","Medium/Large",3
"Educat_M_N","Educat","North Central Valley","Medium/Large",198
"Educat_M_S","Educat","North Central Valley","Medium/Large",7
"Educat_S_N","Educat","North Central Valley","Medium/Large",2
"Missin_M_N","Educat","North Central Valley","Medium/Large",1
"Educat_S_I","Educat","North Central Valley","Small",2
"Educat_S_N","Educat","North Central Valley","Small",195
"Educat_S_S","Educat","North Central Valley","Small",4
"Missin_M_N","Educat","North Central Valley","Small",1
"Missin_S_N","Educat","North Central Valley","Small",1
"Educat_M_N","Educat","South Central Valley","Medium/Large",2
"Educat_M_S","Educat","South Central Valley","Medium/Large",191
"Educat_S_S","Educat","South Central Valley","Medium/Large",5
"Educat_S_N","Educat","South Central Valley","Small",1
"Educat_S_S","Educat","South Central Valley","Small",178
"FullSe_M_C","FullSe","Coastal","Medium/Large",181
"FullSe_M_I","FullSe","Coastal","Medium/Large",36
"FullSe_S_C","FullSe","Coastal","Medium/Large",1
"FullSe_S_I","FullSe","Coastal","Medium/Large",1
"Limite_M_C","FullSe","Coastal","Medium/Large",1
"Missin_M_C","FullSe","Coastal","Medium/Large",3
"FullSe_M_C","FullSe","Coastal","Small",7
"FullSe_M_I","FullSe","Coastal","Small",1
"FullSe_S_C","FullSe","Coastal","Small",195
"FullSe_S_I","FullSe","Coastal","Small",34
"Limite_S_C","FullSe","Coastal","Small",2
"Missin_M_C","FullSe","Coastal","Small",1
"Missin_S_C","FullSe","Coastal","Small",1
