Zip Code,2023,2024,YoY Change,%change
89061,1,1,0,0
90001,295,449,154,0.522033898
90002,253,396,143,0.565217391
90003,318,507,189,0.594339623
90004,1775,2241,466,0.262535211
90005,1045,1452,407,0.389473684
90006,692,992,300,0.433526012
90007,361,571,210,0.581717452
90008,912,1248,336,0.368421053
90009,15,21,6,0.4
90010,595,656,61,0.102521008
90011,458,703,245,0.534934498
90012,1611,2202,591,0.366852886
90013,525,619,94,0.179047619
90014,364,442,78,0.214285714
90015,954,1273,319,0.334381551
90016,1224,1669,445,0.363562092
90017,825,1083,258,0.312727273
90018,838,1130,292,0.348448687
90019,1991,2527,536,0.269211452
90020,951,1266,315,0.331230284
90021,230,311,81,0.352173913
90022,417,618,201,0.482014388
90023,301,414,113,0.375415282
90024,2293,2780,487,0.212385521
90025,2849,3524,675,0.236925237
90026,2051,2504,453,0.220867869
90027,2195,2679,484,0.220501139
90028,1136,1604,468,0.411971831
90029,604,799,195,0.322847682
90030,0,2,2,NaN
90031,786,987,201,0.255725191
90032,957,1235,278,0.290491118
90033,320,415,95,0.296875
90034,2482,3192,710,0.286059629
90035,1653,2235,582,0.352087114
90036,2280,2844,564,0.247368421
90037,337,533,196,0.581602374
90038,799,1077,278,0.347934919
90039,1808,2122,314,0.173672566
90040,232,300,68,0.293103448
90041,1316,1571,255,0.193768997
90042,1970,2343,373,0.189340102
90043,1220,1631,411,0.336885246
90044,528,822,294,0.556818182
90045,12575,16532,3957,0.314671968
90046,3357,4086,729,0.217158177
90047,757,1100,343,0.453104359
90048,1578,2037,459,0.290874525
90049,4177,5044,867,0.207565238
90050,2,2,0,0
90051,5,6,1,0.2
90053,4,5,1,0.25
90054,0,3,3,NaN
90055,1,1,0,0
90056,580,709,129,0.222413793
90057,456,611,155,0.339912281
90058,179,203,24,0.134078212
90059,278,443,165,0.59352518
90060,0,1,1,NaN
90061,217,310,93,0.428571429
90062,355,546,191,0.538028169
90063,696,998,302,0.433908046
90064,2524,3192,668,0.264659271
90065,1994,2488,494,0.24774323
90066,3718,4638,920,0.247444863
90067,691,821,130,0.18813314
90068,2047,2484,437,0.213483146
90069,1711,2167,456,0.266510812
90071,35,38,3,0.085714286
90073,0,1,1,NaN
90074,1,,-1,-1
90075,1,2,1,1
90076,0,,0,NaN
90077,1373,1674,301,0.219227968
90078,7,9,2,0.285714286
90079,1,2,1,1
90080,,1,1,NaN
90081,,,0,NaN
90082,,1,1,NaN
90083,1,1,0,0
90084,,,0,NaN
90086,4,6,2,0.5
90088,1,,-1,-1
90089,22,23,1,0.045454545
90090,1,,-1,-1
90091,,1,1,NaN
90093,9,8,-1,-0.111111111
90094,1160,1350,190,0.163793103
90095,88,110,22,0.25
90096,,,0,NaN
90201,675,1009,334,0.494814815
90202,,,0,NaN
90209,31,37,6,0.193548387
90210,2846,3332,486,0.170765987
90211,850,1091,241,0.283529412
90212,1179,1468,289,0.245122986
90213,17,23,6,0.352941176
90220,403,629,226,0.560794045
90221,326,489,163,0.5
90222,215,313,98,0.455813953
90223,3,3,0,0
90224,3,3,0,0
90230,1666,2074,408,0.244897959
90231,8,13,5,0.625
90232,1126,1436,310,0.275310835
90233,1,1,0,0
90239,7,9,2,0.285714286
90240,910,1184,274,0.301098901
90241,1200,1512,312,0.26
90242,803,1009,206,0.256537983
90245,1114,1350,236,0.211849192
90247,910,1248,338,0.371428571
90248,445,592,147,0.330337079
90249,720,905,185,0.256944444
90250,2398,2825,427,0.178065054
90251,6,7,1,0.166666667
90254,1812,2101,289,0.159492274
