 Substation Name, Nominal Voltage (kV), Redacted Data, Residential Customer Count, Commercial Customer Count, Industrial Customer Count, Agricultural Customer Count, Other Customers, Existing Distributed Generation (kW), Queued Distributed Generation (kW), Total Distributed Generation (kW),OBJECTID,feederid,feeder_name,division,last_update_on_map
WEST POINT,12kV,No,2728,224,14,28,22,2340,370,2710,1,163201102,WEST POINT 1102,Stockton,6/2/2025 1:21:05 AM
HICKS,21kV,No,4994,320,152,0,14,4720,730,5450,2,083432111,HICKS 2111,San Jose,6/2/2025 1:21:05 AM
SAN LUIS OBISPO,12kV,No,2319,497,188,0,20,2370,890,3260,3,182631105,SAN LUIS OBISPO 1105,Los Padres,11/3/2025 11:41:51 AM
SF H,12kV,Yes,4629,207,28,0,10,1520,80,1600,4,022101109,SF H 1109,Peninsula,6/2/2025 1:21:05 AM
MONROE,21kV,No,4362,463,153,12,24,10210,1040,11250,5,043302103,MONROE 2103,Sonoma,6/2/2025 1:21:05 AM
WESTLEY,12kV,No,695,113,37,238,10,1870,5440,7310,6,162671103,WESTLEY 1103,Yosemite,6/2/2025 1:21:05 AM
EDENVALE,21kV,Yes,1063,17,32,0,9,10060,2830,12890,7,082952112,EDENVALE 2112,San Jose,6/2/2025 1:21:05 AM
OAK,4.16kV,No,1243,68,0,0,0,1340,130,1470,8,012600401,OAK 0401,East Bay,6/2/2025 1:21:05 AM
FORT ROSS,12kV,No,509,109,13,17,0,540,50,590,9,042851121,FORT ROSS 1121,Sonoma,6/2/2025 1:21:05 AM
HICKS,21kV,No,3714,182,36,8,5,8040,760,8800,10,083432101,HICKS 2101,San Jose,6/2/2025 1:21:05 AM
TOKAY,12kV,Yes,4,1,0,12,2,230,0,230,11,168881101,TOKAY 1101,Stockton,6/2/2025 1:21:05 AM
HALF MOON BAY,12kV,No,4014,616,75,160,4,4410,900,5310,12,024101103,HALF MOON BAY 1103,Peninsula,6/2/2025 1:21:05 AM
DUNNIGAN,12kV,Yes,162,39,7,99,1,1540,490,2030,13,063811103,DUNNIGAN 1103,Sacramento,6/2/2025 1:21:05 AM
PERRY,12kV,No,2945,517,39,50,7,2270,380,2650,14,183071101,PERRY 1101,Los Padres,11/3/2025 11:41:52 AM
MILPITAS,12kV,No,713,149,114,0,6,1960,320,2280,15,082831103,MILPITAS 1103,San Jose,6/2/2025 1:21:05 AM
OLD RIVER,12kV,Yes,6,16,6,109,1,10820,400,11220,16,252821101,OLD RIVER 1101,Kern,6/2/2025 1:21:05 AM
INDIAN FLAT,12kV,No,512,80,33,0,10,710,50,760,17,252691104,INDIAN FLAT 1104,Yosemite,6/2/2025 1:21:05 AM
STELLING,12kV,No,3091,105,36,0,10,4770,870,5640,18,083481109,STELLING 1109,De Anza,6/2/2025 1:21:05 AM
FIGARDEN,21kV,No,5099,474,133,59,17,16390,2870,19260,19,254552102,FIGARDEN 2102,Fresno,6/2/2025 1:21:05 AM
BIG LAGOON,12kV,No,130,16,0,0,2,90,0,90,20,192361101,BIG LAGOON 1101,Humboldt,6/2/2025 1:21:05 AM
MENLO,12kV,No,1953,159,30,3,41,4780,630,5410,21,024131103,MENLO 1103,Peninsula,6/2/2025 1:21:05 AM
TRIMBLE,12kV,No,0,56,67,0,5,1140,800,1940,22,083801106,TRIMBLE 1106,San Jose,6/2/2025 1:21:05 AM
EDENVALE,12kV,No,2014,94,41,0,10,2920,440,3360,23,082951102,EDENVALE 1102,San Jose,6/2/2025 1:21:05 AM
ANITA,12kV,No,925,82,16,169,4,6690,4160,10850,24,102841106,ANITA 1106,North Valley,6/2/2025 1:21:05 AM
STOCKTON A,12kV,No,3048,99,37,1,7,6230,490,6720,25,162371110,STOCKTON A 1110,Stockton,6/2/2025 1:21:05 AM
MISSION (X),12kV,No,1145,81,144,0,6,0,0,0,26,022011162,MISSION (X) 1162,San Francisco,6/2/2025 1:21:05 AM
MIDDLETOWN,12kV,No,498,40,8,28,0,930,5330,6260,27,043141103,MIDDLETOWN 1103,Humboldt,6/2/2025 1:21:05 AM
BAY MEADOWS,21kV,Yes,1036,60,39,0,10,1300,0,1300,28,024012103,BAY MEADOWS 2103,Peninsula,6/2/2025 1:21:05 AM
COALINGA NO 2,12kV,Yes,17,32,32,39,24,2160,1000,3160,29,252381107,COALINGA NO 2 1107,Fresno,6/2/2025 1:21:05 AM
GOLDTREE,12kV,Yes,12,22,10,0,,998,998,1996,30,182581107,GOLDTREE 1107,Los Padres,11/3/2025 11:44:12 AM
SPENCE,12kV,Yes,195,102,22,143,1,1030,910,1940,31,182201101,SPENCE 1101,Central Coast,6/2/2025 1:21:05 AM
EL CAPITAN,12kV,No,1723,136,42,1,5,1540,50,1590,32,253881105,EL CAPITAN 1105,Yosemite,6/2/2025 1:21:05 AM
SALINAS,12kV,Yes,176,102,34,3,8,1720,0,1720,33,182011108,SALINAS 1108,Central Coast,6/2/2025 1:21:05 AM
SANTA ROSA A,12kV,Yes,920,298,58,0,14,770,110,880,34,042151109,SANTA ROSA A 1109,Sonoma,6/2/2025 1:21:05 AM
