feederid,month,hour,kwh_1_1_NS_C,kwh_1_1_NS_I,kwh_1_1_NS_N,kwh_1_1_NS_S,kwh_1_1_S_C,kwh_1_1_S_I,kwh_1_1_S_N,kwh_1_1_S_S,kwh_1_2_NS_C,kwh_1_2_NS_I,kwh_1_2_NS_N,kwh_1_2_NS_S,kwh_1_2_S_C,kwh_1_2_S_I,kwh_1_2_S_N,kwh_1_2_S_S,kwh_1_3_NS_C,kwh_1_3_NS_I,kwh_1_3_NS_N,kwh_1_3_NS_S,kwh_1_3_S_C,kwh_1_3_S_I,kwh_1_3_S_N,kwh_1_3_S_S,kwh_1_4_NS_C,kwh_1_4_NS_I,kwh_1_4_NS_N,kwh_1_4_NS_S,kwh_1_4_S_C,kwh_1_4_S_I,kwh_1_4_S_N,kwh_1_4_S_S,kwh_1_5_NS_C,kwh_1_5_NS_I,kwh_1_5_NS_N,kwh_1_5_NS_S,kwh_1_5_S_C,kwh_1_5_S_I,kwh_1_5_S_N,kwh_1_5_S_S,kwh_2_1_NS_C,kwh_2_1_NS_I,kwh_2_1_NS_N,kwh_2_1_NS_S,kwh_2_1_S_C,kwh_2_1_S_I,kwh_2_1_S_N,kwh_2_1_S_S,kwh_2_2_NS_C,kwh_2_2_NS_I,kwh_2_2_NS_N,kwh_2_2_NS_S,kwh_2_2_S_C,kwh_2_2_S_I,kwh_2_2_S_N,kwh_2_2_S_S,kwh_2_3_NS_C,kwh_2_3_NS_I,kwh_2_3_NS_N,kwh_2_3_NS_S,kwh_2_3_S_C,kwh_2_3_S_I,kwh_2_3_S_N,kwh_2_3_S_S,kwh_2_4_NS_C,kwh_2_4_NS_I,kwh_2_4_NS_N,kwh_2_4_NS_S,kwh_2_4_S_C,kwh_2_4_S_I,kwh_2_4_S_N,kwh_2_4_S_S,kwh_2_5_NS_C,kwh_2_5_NS_I,kwh_2_5_NS_N,kwh_2_5_NS_S,kwh_2_5_S_C,kwh_2_5_S_I,kwh_2_5_S_N,kwh_2_5_S_S,kwh_3_1_NS_C,kwh_3_1_NS_I,kwh_3_1_NS_N,kwh_3_1_NS_S,kwh_3_1_S_C,kwh_3_1_S_I,kwh_3_1_S_N,kwh_3_1_S_S,kwh_3_2_NS_C,kwh_3_2_NS_I,kwh_3_2_NS_N,kwh_3_2_NS_S,kwh_3_2_S_C,kwh_3_2_S_I,kwh_3_2_S_N,kwh_3_2_S_S,kwh_3_3_NS_C,kwh_3_3_NS_I,kwh_3_3_NS_N,kwh_3_3_NS_S,kwh_3_3_S_C,kwh_3_3_S_I,kwh_3_3_S_N,kwh_3_3_S_S,kwh_3_4_NS_C,kwh_3_4_NS_I,kwh_3_4_NS_N,kwh_3_4_NS_S,kwh_3_4_S_C,kwh_3_4_S_I,kwh_3_4_S_N,kwh_3_4_S_S,kwh_3_5_NS_C,kwh_3_5_NS_I,kwh_3_5_NS_N,kwh_3_5_NS_S,kwh_3_5_S_C,kwh_3_5_S_I,kwh_3_5_S_N,kwh_3_5_S_S,kwh_4_1_NS_C,kwh_4_1_NS_I,kwh_4_1_NS_N,kwh_4_1_NS_S,kwh_4_1_S_C,kwh_4_1_S_I,kwh_4_1_S_N,kwh_4_1_S_S,kwh_4_2_NS_C,kwh_4_2_NS_I,kwh_4_2_NS_N,kwh_4_2_NS_S,kwh_4_2_S_C,kwh_4_2_S_I,kwh_4_2_S_N,kwh_4_2_S_S,kwh_4_3_NS_C,kwh_4_3_NS_I,kwh_4_3_NS_N,kwh_4_3_NS_S,kwh_4_3_S_C,kwh_4_3_S_I,kwh_4_3_S_N,kwh_4_3_S_S,kwh_4_4_NS_C,kwh_4_4_NS_I,kwh_4_4_NS_N,kwh_4_4_NS_S,kwh_4_4_S_C,kwh_4_4_S_I,kwh_4_4_S_N,kwh_4_4_S_S,kwh_4_5_NS_C,kwh_4_5_NS_I,kwh_4_5_NS_N,kwh_4_5_NS_S,kwh_4_5_S_C,kwh_4_5_S_I,kwh_4_5_S_N,kwh_4_5_S_S,ZIP_CODE,2023,2024,YoY Change,%change
252052118,10.0,18.0,0.0,0.0,0.0,0.5331506677419355,0.0,0.0,0.0,1.578787380645161,0.0,0.0,0.0,1.0330609258064516,0.0,0.0,0.0,2.0612146129032256,0.0,0.0,0.0,1.3002501161290323,0.0,0.0,0.0,2.235468161290323,0.0,0.0,0.0,1.793482258064516,0.0,0.0,0.0,2.974443677419355,0.0,0.0,0.0,1.255631558064516,0.0,0.0,0.0,2.425193580645161,0.0,0.0,0.0,0.5826887935483872,0.0,0.0,0.0,1.655460158064516,0.0,0.0,0.0,0.9823973774193548,0.0,0.0,0.0,1.7255437612903226,0.0,0.0,0.0,1.2971804,0.0,0.0,0.0,1.924801941935484,0.0,0.0,0.0,1.889672041935484,0.0,0.0,0.0,2.3020591612903223,0.0,0.0,0.0,1.2681702741935486,0.0,0.0,0.0,2.1152812903225806,0.0,0.0,0.0,0.5766555483870968,0.0,0.0,0.0,1.2222886161290325,0.0,0.0,0.0,0.9502307032258064,0.0,0.0,0.0,1.597952222580645,0.0,0.0,0.0,1.331479616129032,0.0,0.0,0.0,1.896200483870968,0.0,0.0,0.0,1.8691168838709675,0.0,0.0,0.0,2.484366677419355,0.0,0.0,0.0,1.239502958064516,0.0,0.0,0.0,2.1290309677419357,0.0,0.0,0.0,0.5829896129032258,0.0,0.0,0.0,1.3600116548387096,0.0,0.0,0.0,1.032583777419355,0.0,0.0,0.0,1.8027380806451616,0.0,0.0,0.0,1.4356529967741936,0.0,0.0,0.0,2.047269806451613,0.0,0.0,0.0,1.9143809870967743,0.0,0.0,0.0,2.6292056129032257,0.0,0.0,0.0,1.237632206451613,0.0,0.0,0.0,2.369262806451613,93704,455.0,569.0,114.0,0.250549451
24160409,8.0,17.0,0.1651193967741935,0.0,0.0,0.0,0.0277443258064516,0.0,0.0,0.0,0.3454606806451613,0.0,0.0,0.0,0.0389604161290322,0.0,0.0,0.0,0.5012576806451613,0.0,0.0,0.0,0.1221453129032258,0.0,0.0,0.0,0.8163336838709677,0.0,0.0,0.0,0.1271553258064516,0.0,0.0,0.0,0.3863021935483871,0.0,0.0,0.0,0.1724211354838709,0.0,0.0,0.0,0.2003784193548387,0.0,0.0,0.0,0.3976964096774193,0.0,0.0,0.0,0.3541581451612903,0.0,0.0,0.0,0.1105802451612903,0.0,0.0,0.0,0.5437623032258065,0.0,0.0,0.0,0.1825079709677419,0.0,0.0,0.0,0.9297544903225806,0.0,0.0,0.0,0.2721932870967742,0.0,0.0,0.0,0.4602442387096774,0.0,0.0,0.0,0.5623498774193548,0.0,0.0,0.0,0.1817760548387096,0.0,0.0,0.0,-0.093317429032258,0.0,0.0,0.0,0.3880946258064516,0.0,0.0,0.0,-0.1763967548387096,0.0,0.0,0.0,0.5711225483870969,0.0,0.0,0.0,-0.2552147838709677,0.0,0.0,0.0,0.8988590580645162,0.0,0.0,0.0,-0.6151511741935484,0.0,0.0,0.0,0.4252344451612903,0.0,0.0,0.0,-0.3864434258064516,0.0,0.0,0.0,0.2084447806451612,0.0,0.0,0.0,-0.1711867709677419,0.0,0.0,0.0,0.3917684935483871,0.0,0.0,0.0,-0.0962147903225806,0.0,0.0,0.0,0.5964541032258064,0.0,0.0,0.0,-0.0844013032258064,0.0,0.0,0.0,1.1021251967741936,0.0,0.0,0.0,-0.4176193322580645,0.0,0.0,0.0,0.5140277612903226,0.0,0.0,0.0,-0.2510468193548387,0.0,0.0,0.0,94063,1249.0,1555.0,306.0,0.244995997
253161106,5.0,2.0,0.0,0.0,0.0,0.2560260444209413,0.0,0.0,0.0,0.693857962680316,0.0,0.0,0.0,0.4003946551491429,0.0,0.0,0.0,0.9389770003015612,0.0,0.0,0.0,0.5491683772486178,0.0,0.0,0.0,1.045549875137764,0.0,0.0,0.0,0.8975066820355511,0.0,0.0,0.0,1.543394300637197,0.0,0.0,0.0,0.5811286183749015,0.0,0.0,0.0,1.2367306200500958,0.0,0.0,0.0,0.2399102132435466,0.0,0.0,0.0,0.7460665072908591,0.0,0.0,0.0,0.383195270881526,0.0,0.0,0.0,0.6745119972419195,0.0,0.0,0.0,0.5213293861440043,0.0,0.0,0.0,0.7931203481574126,0.0,0.0,0.0,0.8044279835390947,0.0,0.0,0.0,1.095177520321937,0.0,0.0,0.0,0.5675890428555372,0.0,0.0,0.0,1.090066345055776,0.0,0.0,0.0,0.2455024757167149,0.0,0.0,0.0,0.4606895684960201,0.0,0.0,0.0,0.3686868715913434,0.0,0.0,0.0,0.619517028049764,0.0,0.0,0.0,0.4874057227696046,0.0,0.0,0.0,0.7799847400380754,0.0,0.0,0.0,0.7920951112688016,0.0,0.0,0.0,1.162996615999697,0.0,0.0,0.0,0.5401600342319212,0.0,0.0,0.0,0.980056089197713,0.0,0.0,0.0,0.2233891298454865,0.0,0.0,0.0,0.5609295947891576,0.0,0.0,0.0,0.3451629733520336,0.0,0.0,0.0,0.7112706462228578,0.0,0.0,0.0,0.4653211410872358,0.0,0.0,0.0,0.8735865474802436,0.0,0.0,0.0,0.6735863082856468,0.0,0.0,0.0,1.3004800434829844,0.0,0.0,0.0,0.4727001455191336,0.0,0.0,0.0,1.2223184350304446,93234,25.0,50.0,25.0,1.0
254531109,8.0,4.0,0.0,0.0,0.0,0.3933859999999999,0.0,0.0,0.0,1.0327791838709677,0.0,0.0,0.0,0.6295267483870968,0.0,0.0,0.0,1.3733630967741934,0.0,0.0,0.0,0.7803294322580645,0.0,0.0,0.0,1.5174567741935483,0.0,0.0,0.0,1.2608491419354837,0.0,0.0,0.0,2.1869937096774197,0.0,0.0,0.0,0.8085220096774193,0.0,0.0,0.0,1.690949870967742,0.0,0.0,0.0,0.3831965483870967,0.0,0.0,0.0,1.0317194225806452,0.0,0.0,0.0,0.5993962225806452,0.0,0.0,0.0,1.0605168419354838,0.0,0.0,0.0,0.7680223935483872,0.0,0.0,0.0,1.1879190193548386,0.0,0.0,0.0,1.1735371354838708,0.0,0.0,0.0,1.5816983870967742,0.0,0.0,0.0,0.8181051548387096,0.0,0.0,0.0,1.5140542580645162,0.0,0.0,0.0,0.3857082096774193,0.0,0.0,0.0,0.7115399000000001,0.0,0.0,0.0,0.5583111322580645,0.0,0.0,0.0,0.9709656516129032,0.0,0.0,0.0,0.7607401387096775,0.0,0.0,0.0,1.149142193548387,0.0,0.0,0.0,1.121012735483871,0.0,0.0,0.0,1.6416912903225809,0.0,0.0,0.0,0.749183364516129,0.0,0.0,0.0,1.4345960322580644,0.0,0.0,0.0,0.3540830290322581,0.0,0.0,0.0,0.8333879322580645,0.0,0.0,0.0,0.5801346322580645,0.0,0.0,0.0,1.0417245870967742,0.0,0.0,0.0,0.7451851161290323,0.0,0.0,0.0,1.295700222580645,0.0,0.0,0.0,1.024118222580645,0.0,0.0,0.0,1.8846446774193548,0.0,0.0,0.0,0.7122239193548386,0.0,0.0,0.0,1.663318806451613,93654,229.0,324.0,95.0,0.414847162
13432208,10.0,18.0,0.0,0.0,0.4643615903225806,0.0,0.0,0.0,1.4266109483870966,0.0,0.0,0.0,0.9299258387096776,0.0,0.0,0.0,1.73178,0.0,0.0,0.0,1.2288297612903225,0.0,0.0,0.0,1.953208870967742,0.0,0.0,0.0,1.6959137096774193,0.0,0.0,0.0,2.563300032258065,0.0,0.0,0.0,1.031885787096774,0.0,0.0,0.0,2.1098587419354837,0.0,0.0,0.0,0.5194910967741935,0.0,0.0,0.0,1.4182161354838712,0.0,0.0,0.0,0.908189987096774,0.0,0.0,0.0,1.6106414387096777,0.0,0.0,0.0,1.2697424,0.0,0.0,0.0,1.8060765483870969,0.0,0.0,0.0,1.8031539677419357,0.0,0.0,0.0,2.2441871612903226,0.0,0.0,0.0,1.105893870967742,0.0,0.0,0.0,1.955949806451613,0.0,0.0,0.0,0.4901874967741935,0.0,0.0,0.0,1.130445448387097,0.0,0.0,0.0,0.921393558064516,0.0,0.0,0.0,1.4671883290322585,0.0,0.0,0.0,1.243861970967742,0.0,0.0,0.0,1.6823881774193548,0.0,0.0,0.0,1.8409952258064517,0.0,0.0,0.0,2.0754540322580644,0.0,0.0,0.0,1.0200456387096777,0.0,0.0,0.0,1.8648614193548387,0.0,0.0,0.0,0.5406500032258065,0.0,0.0,0.0,1.212659470967742,0.0,0.0,0.0,0.9229072612903226,0.0,0.0,0.0,1.541691619354839,0.0,0.0,0.0,1.2691110258064515,0.0,0.0,0.0,1.934419129032258,0.0,0.0,0.0,1.8248765806451612,0.0,0.0,0.0,2.408628419354838,0.0,0.0,0.0,1.232047470967742,0.0,0.0,0.0,2.001124193548387,0.0,94553,1822.0,2343.0,521.0,0.285949506
22571105,8.0,3.0,0.1246942774193548,0.0,0.0,0.0,0.4411254677419355,0.0,0.0,0.0,0.2397492032258064,0.0,0.0,0.0,0.5726174677419354,0.0,0.0,0.0,0.3264329774193548,0.0,0.0,0.0,0.7567318870967742,0.0,0.0,0.0,0.7606593129032257,0.0,0.0,0.0,1.217039,0.0,0.0,0.0,0.235876729032258,0.0,0.0,0.0,0.737089770967742,0.0,0.0,0.0,0.1463279225806451,0.0,0.0,0.0,0.5489994096774194,0.0,0.0,0.0,0.2138301,0.0,0.0,0.0,0.5159024935483871,0.0,0.0,0.0,0.3144951935483871,0.0,0.0,0.0,0.6566099548387097,0.0,0.0,0.0,0.5731659451612903,0.0,0.0,0.0,1.2768530645161291,0.0,0.0,0.0,0.2740485580645161,0.0,0.0,0.0,1.0284686516129031,0.0,0.0,0.0,0.1290046387096774,0.0,0.0,0.0,0.3591912935483871,0.0,0.0,0.0,0.2333827225806451,0.0,0.0,0.0,0.4392349870967742,0.0,0.0,0.0,0.319488464516129,0.0,0.0,0.0,0.4717413387096774,0.0,0.0,0.0,0.5649882838709678,0.0,0.0,0.0,0.7246268387096775,0.0,0.0,0.0,0.2255932161290322,0.0,0.0,0.0,0.7858010903225806,0.0,0.0,0.0,0.1199680709677419,0.0,0.0,0.0,0.3889062612903226,0.0,0.0,0.0,0.2006520516129032,0.0,0.0,0.0,0.4723198677419355,0.0,0.0,0.0,0.2947758483870968,0.0,0.0,0.0,0.6544653935483872,0.0,0.0,0.0,0.5523796612903227,0.0,0.0,0.0,0.8326557032258065,0.0,0.0,0.0,0.2515312419354839,0.0,0.0,0.0,0.7377590225806451,0.0,0.0,0.0,94080,10906.0,7874.0,-3032.0,-0.278012103
253371114,7.0,15.0,0.0,0.0,0.0,1.0234646870967743,0.0,0.0,0.0,1.4126185516129033,0.0,0.0,0.0,2.250029161290323,0.0,0.0,0.0,1.2306599129032258,0.0,0.0,0.0,2.855691935483871,0.0,0.0,0.0,0.7622529903225806,0.0,0.0,0.0,3.9204671612903224,0.0,0.0,0.0,0.2564434064516129,0.0,0.0,0.0,2.393817322580645,0.0,0.0,0.0,0.8624670354838709,0.0,0.0,0.0,1.278609448387097,0.0,0.0,0.0,1.7490682967741935,0.0,0.0,0.0,2.280943774193548,0.0,0.0,0.0,0.7914377967741936,0.0,0.0,0.0,2.9960421612903225,0.0,0.0,0.0,0.2488495580645161,0.0,0.0,0.0,3.8598340967741938,0.0,0.0,0.0,-0.2974105387096774,0.0,0.0,0.0,2.578906741935484,0.0,0.0,0.0,-0.2275456354838709,0.0,0.0,0.0,1.2779563258064517,0.0,0.0,0.0,0.7457632838709678,0.0,0.0,0.0,2.2149842258064516,0.0,0.0,0.0,0.375492664516129,0.0,0.0,0.0,3.111836580645161,0.0,0.0,0.0,0.0319544903225806,0.0,0.0,0.0,3.933239,0.0,0.0,0.0,-0.6264973967741936,0.0,0.0,0.0,2.4591370967741937,0.0,0.0,0.0,-0.5518426548387096,0.0,0.0,0.0,1.282771080645161,0.0,0.0,0.0,0.8997356677419355,0.0,0.0,0.0,2.3416382903225808,0.0,0.0,0.0,0.7026544064516129,0.0,0.0,0.0,3.3229080322580646,0.0,0.0,0.0,0.3489707129032258,0.0,0.0,0.0,4.068083967741935,0.0,0.0,0.0,-0.3750800161290323,0.0,0.0,0.0,2.4549359677419353,0.0,0.0,0.0,0.0520391322580645,93305,124.0,165.0,41.0,0.330645161
22801117,10.0,8.0,0.140661764516129,0.0,0.0,0.0,0.4054701225806452,0.0,0.0,0.0,0.3110851483870968,0.0,0.0,0.0,0.4601775870967742,0.0,0.0,0.0,0.416559864516129,0.0,0.0,0.0,0.5812173903225807,0.0,0.0,0.0,0.8340268709677419,0.0,0.0,0.0,0.9846731935483872,0.0,0.0,0.0,0.4315530709677419,0.0,0.0,0.0,0.9334135096774192,0.0,0.0,0.0,0.1857982193548387,0.0,0.0,0.0,0.5903398774193548,0.0,0.0,0.0,0.3010656064516129,0.0,0.0,0.0,0.4463702935483871,0.0,0.0,0.0,0.4457895193548387,0.0,0.0,0.0,0.6068842548387097,0.0,0.0,0.0,0.8162292419354839,0.0,0.0,0.0,1.0663247290322582,0.0,0.0,0.0,0.4082565870967742,0.0,0.0,0.0,1.1965658096774192,0.0,0.0,0.0,0.1632509129032258,0.0,0.0,0.0,0.2585560903225806,0.0,0.0,0.0,0.3223905935483871,0.0,0.0,0.0,0.2456832,0.0,0.0,0.0,0.4428622290322581,0.0,0.0,0.0,0.2858737258064516,0.0,0.0,0.0,0.7467019935483872,0.0,0.0,0.0,0.3377803451612903,0.0,0.0,0.0,0.3697069096774193,0.0,0.0,0.0,0.6902090161290322,0.0,0.0,0.0,0.1694285612903225,0.0,0.0,0.0,0.309335764516129,0.0,0.0,0.0,0.2868742612903225,0.0,0.0,0.0,0.3427204741935484,0.0,0.0,0.0,0.4414739322580645,0.0,0.0,0.0,0.5133023161290323,0.0,0.0,0.0,0.7448211548387097,0.0,0.0,0.0,0.6178463870967742,0.0,0.0,0.0,0.4208415032258065,0.0,0.0,0.0,0.777489264516129,0.0,0.0,0.0,94108,227.0,254.0,27.0,0.118942731
252301102,8.0,1.0,0.0,0.0,0.0,0.4916769064516129,0.0,0.0,0.0,1.3224610548387097,0.0,0.0,0.0,0.8552284774193549,0.0,0.0,0.0,1.7199492903225806,0.0,0.0,0.0,1.0822346548387096,0.0,0.0,0.0,1.9196943870967744,0.0,0.0,0.0,1.598713129032258,0.0,0.0,0.0,2.6873348709677423,0.0,0.0,0.0,0.9904230032258065,0.0,0.0,0.0,2.024456,0.0,0.0,0.0,0.5024095419354839,0.0,0.0,0.0,1.4050789096774194,0.0,0.0,0.0,0.8269614838709677,0.0,0.0,0.0,1.4039135903225806,0.0,0.0,0.0,1.0555805,0.0,0.0,0.0,1.539763612903226,0.0,0.0,0.0,1.5113982967741937,0.0,0.0,0.0,2.095753064516129,0.0,0.0,0.0,0.961238793548387,0.0,0.0,0.0,1.879489677419355,0.0,0.0,0.0,0.4802668290322581,0.0,0.0,0.0,1.0041887322580645,0.0,0.0,0.0,0.7248521225806452,0.0,0.0,0.0,1.2659432387096774,0.0,0.0,0.0,1.0435392354838708,0.0,0.0,0.0,1.5478642612903226,0.0,0.0,0.0,1.5125788870967742,0.0,0.0,0.0,2.098605709677419,0.0,0.0,0.0,0.9783806193548388,0.0,0.0,0.0,1.7282623870967744,0.0,0.0,0.0,0.4433937806451613,0.0,0.0,0.0,1.1286038096774194,0.0,0.0,0.0,0.7550923193548387,0.0,0.0,0.0,1.3988580354838709,0.0,0.0,0.0,0.9946361516129032,0.0,0.0,0.0,1.6536746129032258,0.0,0.0,0.0,1.4221370741935484,0.0,0.0,0.0,2.4018315483870967,0.0,0.0,0.0,0.8762788580645161,0.0,0.0,0.0,2.016666322580645,93656,23.0,29.0,6.0,0.260869565
253491116,10.0,12.0,0.0,0.0,0.0,0.2790823967741935,0.0,0.0,0.0,-0.5893926290322581,0.0,0.0,0.0,0.6055567258064516,0.0,0.0,0.0,-1.3654820548387097,0.0,0.0,0.0,0.7826299483870968,0.0,0.0,0.0,-1.837259535483871,0.0,0.0,0.0,1.2815761935483871,0.0,0.0,0.0,-2.507206612903226,0.0,0.0,0.0,0.7906215193548387,0.0,0.0,0.0,-1.5160276322580646,0.0,0.0,0.0,0.3731373935483871,0.0,0.0,0.0,-0.3639398677419355,0.0,0.0,0.0,0.6347404967741935,0.0,0.0,0.0,-1.4775940161290322,0.0,0.0,0.0,0.8435157225806451,0.0,0.0,0.0,-2.1780945161290326,0.0,0.0,0.0,1.318232422580645,0.0,0.0,0.0,-2.8756416451612905,0.0,0.0,0.0,0.8981971967741936,0.0,0.0,0.0,-2.551284129032258,0.0,0.0,0.0,0.3796775096774193,0.0,0.0,0.0,-1.1290818419354838,0.0,0.0,0.0,0.645549264516129,0.0,0.0,0.0,-1.866700161290323,0.0,0.0,0.0,0.8793311387096774,0.0,0.0,0.0,-2.501544193548387,0.0,0.0,0.0,1.321958970967742,0.0,0.0,0.0,-3.418398516129032,0.0,0.0,0.0,0.9306313193548388,0.0,0.0,0.0,-3.274599258064516,0.0,0.0,0.0,0.4483798516129032,0.0,0.0,0.0,-0.9807180903225806,0.0,0.0,0.0,0.7624361935483871,0.0,0.0,0.0,-1.6857595258064515,0.0,0.0,0.0,1.0531396838709677,0.0,0.0,0.0,-2.0653359032258063,0.0,0.0,0.0,1.490859735483871,0.0,0.0,0.0,-2.998146258064516,0.0,0.0,0.0,0.9485340193548388,0.0,0.0,0.0,-2.565102548387097,93308,415.0,557.0,142.0,0.342168675
