ZIP_CODE,Month,Hour,Sol Rad (Ly/day),Air Temp (F),Wind Speed (mph)
90001,1,100,0.0,53.826,2.623
90001,1,200,0.0,53.621,2.629
90001,1,300,0.0,53.537,2.394
90001,1,400,99.619,53.247,2.484
90001,1,500,13.905,53.242,2.745
90001,1,600,23.952,52.832,2.842
90001,1,700,33.81,52.779,2.813
90001,1,800,76.333,52.942,2.852
90001,1,900,410.095,56.342,2.806
90001,1,1000,752.429,60.116,2.99
90001,1,1100,1251.905,62.463,3.094
90001,1,1200,1717.273,63.911,3.426
90001,1,1300,1711.955,64.453,3.884
90001,1,1400,1033.19,64.245,3.994
90001,1,1500,812.381,63.8,4.087
90001,1,1600,478.286,62.83,3.845
90001,1,1700,169.667,61.43,3.09
90001,1,1800,6.095,58.75,2.445
90001,1,1900,0.0,56.71,2.5
90001,1,2000,0.0,55.926,2.19
90001,1,2100,0.0,55.932,2.477
90001,1,2200,0.0,55.5,2.435
90001,1,2300,0.0,54.768,2.387
90001,1,2400,0.0,54.205,2.616
90001,2,100,0.0,51.8,2.952
90001,2,200,0.0,51.703,2.879
90001,2,300,0.0,51.552,2.738
90001,2,400,0.0,51.476,2.852
90001,2,500,0.0,51.4,3.093
90001,2,600,0.0,51.438,2.983
90001,2,700,10.31,51.066,3.034
90001,2,800,139.241,52.069,3.134
90001,2,900,455.172,55.366,3.379
90001,2,1000,692.207,57.428,3.603
90001,2,1100,897.241,58.855,3.99
90001,2,1200,1064.103,60.072,4.621
90001,2,1300,1088.034,60.721,5.203
90001,2,1400,1014.897,60.593,5.497
90001,2,1500,882.276,60.252,5.652
90001,2,1600,628.931,59.621,5.579
90001,2,1700,276.207,58.497,4.907
90001,2,1800,35.931,56.814,3.952
90001,2,1900,0.0,55.31,2.81
90001,2,2000,0.0,54.152,2.721
90001,2,2100,0.0,53.524,2.728
90001,2,2200,0.0,53.003,2.538
90001,2,2300,0.0,52.652,2.652
90001,2,2400,0.0,52.338,2.666
90001,3,100,0.0,52.368,2.91
90001,3,200,0.0,51.687,2.9
90001,3,300,0.0,51.235,2.852
90001,3,400,0.0,50.877,2.881
90001,3,500,0.0,51.052,3.1
90001,3,600,1.355,51.258,3.203
90001,3,700,100.774,52.106,2.997
90001,3,800,423.032,55.19,3.274
90001,3,900,771.419,57.771,3.768
90001,3,1000,1149.742,59.61,4.206
90001,3,1100,1477.581,61.161,5.123
90001,3,1200,1584.71,61.581,6.345
90001,3,1300,1614.581,61.668,6.858
90001,3,1400,1530.129,61.532,7.365
90001,3,1500,1247.839,61.245,7.255
90001,3,1600,870.581,60.597,6.6
90001,3,1700,463.258,59.726,5.871
90001,3,1800,112.387,58.023,4.584
90001,3,1900,1.774,56.452,3.252
90001,3,2000,0.0,55.571,2.884
90001,3,2100,0.0,54.855,3.403
90001,3,2200,0.0,54.223,3.074
90001,3,2300,0.0,53.703,3.177
90001,3,2400,0.0,52.919,3.103
90001,4,100,0.0,53.7,2.517
90001,4,200,0.0,53.417,2.477
90001,4,300,0.0,52.987,2.373
90001,4,400,0.0,52.483,2.44
90001,4,500,0.0,52.347,2.62
90001,4,600,31.133,52.47,2.533
90001,4,700,244.467,54.473,2.507
90001,4,800,604.4,57.78,2.987
90001,4,900,956.067,60.16,3.53
90001,4,1000,1306.667,61.273,4.597
90001,4,1100,1560.067,61.837,5.567
90001,4,1200,1763.367,62.26,6.233
90001,4,1300,1766.633,62.697,6.737
90001,4,1400,1648.367,62.597,7.12
90001,4,1500,1397.567,62.143,7.013
90001,4,1600,1051.933,61.483,6.97
90001,4,1700,638.367,60.647,6.267
90001,4,1800,245.633,59.293,4.833
90001,4,1900,14.033,57.64,3.117
90001,4,2000,0.0,56.627,2.51
90001,4,2100,0.0,55.883,2.283
90001,4,2200,0.0,55.267,2.283
90001,4,2300,0.0,54.713,2.59
90001,4,2400,0.0,54.187,2.39
90001,5,100,0.0,56.068,2.203
90001,5,200,0.0,56.065,2.271
90001,5,300,0.0,55.89,2.145
90001,5,400,0.0,55.513,2.11
90001,5,500,0.871,55.623,2.026
90001,5,600,48.968,56.123,2.071
90001,5,700,205.548,57.432,2.339
90001,5,800,430.29,58.826,2.829
90001,5,900,655.097,59.961,3.494
90001,5,1000,947.968,61.052,4.245
90001,5,1100,1337.484,62.1,5.2
90001,5,1200,1625.645,63.058,5.865
90001,5,1300,1756.452,63.581,6.381
90001,5,1400,1702.677,63.826,6.684
90001,5,1500,1524.645,63.394,6.955
90001,5,1600,1173.903,62.529,6.871
90001,5,1700,735.581,61.484,6.306
90001,5,1800,326.226,60.3,5.523
90001,5,1900,45.968,58.726,4.258
90001,5,2000,0.1,57.763,3.157
90001,5,2100,0.0,57.303,2.668
90001,5,2200,0.0,56.929,2.487
90001,5,2300,0.0,56.574,2.226
90001,5,2400,0.0,56.387,2.168
90001,6,100,0.0,60.253,2.0
90001,6,200,0.0,59.993,1.89
90001,6,300,0.0,59.773,1.86
90001,6,400,0.0,59.29,1.83
90001,6,500,3.933,59.28,1.9
90001,6,600,94.867,59.987,1.907
90001,6,700,289.8,62.153,2.09
90001,6,800,565.6,64.417,2.797
90001,6,900,890.433,65.82,3.677
90001,6,1000,1184.867,66.787,4.507
90001,6,1100,1457.133,67.617,5.243
90001,6,1200,1661.067,68.21,5.727
90001,6,1300,1768.633,68.55,6.217
90001,6,1400,1748.467,68.65,6.547
90001,6,1500,1558.333,68.507,6.607
90001,6,1600,1239.833,67.82,6.49
90001,6,1700,837.0,66.707,5.97
90001,6,1800,421.867,65.287,5.217
90001,6,1900,101.267,63.373,4.217
90001,6,2000,1.8,61.99,3.113
90001,6,2100,0.0,61.477,2.23
90001,6,2200,0.0,61.147,1.867
90001,6,2300,0.0,60.787,1.647
90001,6,2400,0.0,60.57,1.777
90001,7,100,0.0,62.548,1.687
90001,7,200,0.0,62.294,1.735
90001,7,300,0.0,61.945,1.871
90001,7,400,0.0,61.461,1.89
90001,7,500,1.387,61.426,1.948
90001,7,600,69.581,61.777,1.935
90001,7,700,320.194,63.503,2.097
90001,7,800,717.968,66.135,2.79
90001,7,900,1103.129,68.6,3.684
90001,7,1000,1484.0,70.232,4.497
90001,7,1100,1757.871,71.203,5.323
90001,7,1200,1866.742,71.871,5.687
90001,7,1300,1885.452,72.077,6.165
90001,7,1400,1784.645,71.919,6.41
90001,7,1500,1590.581,71.545,6.497
90001,7,1600,1274.387,70.948,6.11
90001,7,1700,885.419,69.865,5.739
90001,7,1800,462.355,68.213,4.865
90001,7,1900,99.0,66.074,3.658
90001,7,2000,1.71,64.623,2.606
90001,7,2100,0.0,63.942,1.99
90001,7,2200,0.0,63.477,1.784
90001,7,2300,0.0,63.094,1.616
90001,7,2400,0.0,62.855,1.574
90001,8,100,0.0,63.626,2.019
90001,8,200,0.0,63.377,2.058
90001,8,300,0.0,63.126,2.006
90001,8,400,0.0,62.403,2.023
90001,8,500,0.032,62.381,2.013
90001,8,600,38.484,62.555,2.1
90001,8,700,296.387,65.29,2.187
90001,8,800,707.065,69.058,2.735
90001,8,900,1116.129,71.839,3.326
90001,8,1000,1489.516,73.49,4.435
90001,8,1100,1773.194,74.461,5.345
90001,8,1200,1877.71,74.661,6.026
90001,8,1300,1849.452,74.532,6.374
90001,8,1400,1729.097,74.361,6.6
90001,8,1500,1509.323,73.981,6.513
90001,8,1600,1218.355,73.319,6.268
90001,8,1700,799.0,71.823,5.681
90001,8,1800,337.71,69.532,4.823
90001,8,1900,35.774,67.161,3.335
90001,8,2000,0.032,65.987,2.271
90001,8,2100,0.0,65.474,1.874
90001,8,2200,0.0,64.974,1.787
90001,8,2300,0.0,64.568,1.852
90001,8,2400,0.0,64.206,1.903
90001,9,100,0.0,63.88,2.21
90001,9,200,0.0,63.737,2.063
90001,9,300,0.0,63.223,2.003
90001,9,400,0.0,62.46,2.017
90001,9,500,0.0,62.743,2.05
90001,9,600,9.0,62.747,1.917
90001,9,700,132.033,63.93,1.933
90001,9,800,429.867,66.513,2.153
90001,9,900,785.6,69.023,2.86
90001,9,1000,1172.6,71.257,3.94
90001,9,1100,1459.7,72.26,5.047
90001,9,1200,1629.4,73.093,5.667
90001,9,1300,1638.833,72.448,6.077
90001,9,1400,1524.667,72.79,6.38
90001,9,1500,1257.967,71.3,6.37
90001,9,1600,914.2,70.286,6.073
90001,9,1700,492.033,69.359,5.283
90001,9,1800,115.862,67.854,4.266
90001,9,1900,2.2,65.507,2.933
90001,9,2000,0.0,64.789,1.91
90001,9,2100,0.0,65.277,1.813
90001,9,2200,0.0,64.53,1.973
90001,9,2300,0.0,63.379,1.963
90001,9,2400,0.0,63.717,2.26
90001,10,100,0.0,60.216,2.123
90001,10,200,0.0,60.023,2.1
90001,10,300,0.0,59.806,2.203
90001,10,400,0.0,59.477,2.123
90001,10,500,0.0,59.371,2.116
90001,10,600,1.29,59.068,2.155
90001,10,700,65.323,59.539,2.284
90001,10,800,331.968,61.945,2.319
90001,10,900,687.258,65.119,2.748
90001,10,1000,1028.677,67.397,3.542
90001,10,1100,1259.226,69.203,4.423
90001,10,1200,1413.161,70.068,5.148
90001,10,1300,1365.581,70.274,5.481
90001,10,1400,1263.548,69.819,5.648
90001,10,1500,978.161,69.265,5.416
90001,10,1600,579.548,67.861,5.116
90001,10,1700,199.226,65.761,4.197
90001,10,1800,9.097,63.535,2.829
90001,10,1900,0.0,62.453,2.233
90001,10,2000,0.0,61.945,1.977
90001,10,2100,0.0,61.423,2.158
90001,10,2200,0.0,61.061,2.026
90001,10,2300,0.0,60.581,2.268
90001,10,2400,0.0,60.332,2.268
90001,11,100,0.0,55.583,2.897
90001,11,200,0.0,55.163,2.797
90001,11,300,0.0,54.743,2.94
90001,11,400,0.0,54.413,3.08
90001,11,500,0.0,54.48,3.123
90001,11,600,0.0,54.023,3.04
90001,11,700,19.067,54.067,3.223
90001,11,800,223.0,56.873,3.057
90001,11,900,611.633,61.66,3.553
90001,11,1000,911.2,64.427,4.083
90001,11,1100,1119.9,66.617,4.3
90001,11,1200,1237.167,67.537,5.13
90001,11,1300,1120.033,67.047,5.487
90001,11,1400,981.267,66.583,5.45
90001,11,1500,748.8,65.963,5.293
90001,11,1600,403.967,64.813,4.493
90001,11,1700,85.6,62.513,3.397
90001,11,1800,0.5,59.797,2.367
90001,11,1900,0.0,58.573,2.767
90001,11,2000,0.0,57.68,2.753
90001,11,2100,0.0,57.2,2.773
90001,11,2200,0.0,56.783,2.95
90001,11,2300,0.0,56.203,3.153
90001,11,2400,0.0,56.09,3.22
90001,12,100,0.0,54.429,2.506
90001,12,200,0.0,53.794,2.5
90001,12,300,0.0,53.377,2.639
90001,12,400,0.0,52.868,2.706
90001,12,500,0.0,52.406,2.51
90001,12,600,0.0,52.445,2.432
90001,12,700,3.742,52.126,2.558
90001,12,800,90.871,52.603,2.426
90001,12,900,380.194,56.168,2.113
90001,12,1000,610.258,58.606,2.461
90001,12,1100,859.484,61.0,2.961
90001,12,1200,994.129,62.819,3.477
90001,12,1300,973.806,63.232,3.977
90001,12,1400,814.387,62.945,4.061
90001,12,1500,598.581,62.129,3.939
90001,12,1600,320.194,60.887,3.532
90001,12,1700,65.452,58.577,2.616
90001,12,1800,0.194,56.348,1.784
90001,12,1900,0.0,55.277,1.877
90001,12,2000,0.0,54.694,2.094
90001,12,2100,0.0,54.7,2.435
90001,12,2200,0.0,54.3,2.526
90001,12,2300,0.0,54.158,2.652
90001,12,2400,0.0,54.229,2.806
90002,1,100,0.0,48.339,1.735
90002,1,200,0.0,47.716,1.726
90002,1,300,0.0,47.558,1.797
90002,1,400,0.0,46.977,1.661
90002,1,500,0.032,46.568,1.774
90002,1,600,0.032,46.41,1.794
90002,1,700,1.774,46.097,1.874
90002,1,800,89.677,47.01,1.79
90002,1,900,383.484,52.229,2.052
90002,1,1000,682.0,56.848,2.558
